"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"56","310.56601000683185","392.54016325230907","0.0048828125","0.0048828125","0.0048828125","2200","0.00019125857734572773","32","0.00019125857734572773","0","0.00019125857734572773","0.00019125857734572773","63:0.0011332136013025573;43:0.0008001327137802938","63:68;43:68","63:0.0010190226643774225;43:0.004226255876444623","0.0048828125","0.002685546875","Yes"
"57","230.0110897352689","268.9053140176815","0.00244140625","0.00341796875","0.00146484375","2200","0.0001532330453631534","32","0.0001532330453631534","0","0.0001532330453631534","0.0001532330453631534","47:0.000988231115584548;67:0.0008773350330228413","47:68;67:68","47:0.0013506802861576739;67:0.0008013062228430512","0.00244140625","0.00390625","Yes"
"58","223.65894088403306","224.00716681458007","0.005859375","0.009765625","0.001953125","2200","0.00014867814087004644","32","0.00014867814087004644","0","0.00014867814087004644","0.00014867814087004644","71:0.0012848722929894585;51:0.0009390895889715978","71:68;51:68","71:0.0013657323835018775;51:0.0011654744893262181","0.005859375","0.00390625","Yes"
"59","141.60644120403865","117.8722786513656","0.00244140625","0.00244140625","0.00244140625","2200","0.00019438243683264753","32","0.00019438243683264753","0","0.00019438243683264753","0.00019438243683264753","55:0.0014535773981744493;75:0.0016160503970555073","55:68;75:68","55:0.0014887865170982728;75:0.001630651907802677","0.00244140625","0.00244140625","Yes"
"60","276.07754799224233","365.7027975000949","0.00341796875","0.00537109375","0.00146484375","2200","0.00010052410054666328","32","0.00010052410054666328","0","0.00010052410054666328","0.00010052410054666328","61:0.007576831408186602","61:68","61:0.0007579245160370396","0.00341796875","0.0029296875","Yes"
"61","226.89326056277147","246.13487497910367","0.00634765625","0.005859375","0.0068359375","2200","0.00024533482245351566","32","0.00024533482245351566","0","0.00024533482245351566","0.00024533482245351566","76:0.0018432999928074956;60:0.007576831408186602;62:0.001080322846937265","76:68;60:68;62:68","76:0.001876380111849013;60:0.0007579245160370396;62:0.0008919284509618375","0.00634765625","0.0029296875","Yes"
"62","292.51477594145814","327.572545688329","0.004638671875","0.0048828125","0.00439453125","2200","0.0001230592786183505","32","0.0001230592786183505","0","0.0001230592786183505","0.0001230592786183505","61:0.001080322846937265;63:0.0009619094391065397","61:68;63:68","61:0.0008919284509618375;63:0.0007587083159491803","0.004638671875","0.00341796875","Yes"
"63","94.57633782253545","113.9092665648529","0.00341796875","0.00634765625","0.00048828125","2200","0.00009835440501496586","32","0.00009835440501496586","0","0.00009835440501496586","0.00009835440501496586","56:0.0011332136013025573;62:0.0009619094391065397;64:0.002447528123051268","56:68;62:68;64:68","56:0.0010190226643774225;62:0.0007587083159491803;64:0.0023798710825177483","0.00341796875","0.003173828125","Yes"
"64","25.41349987268353","50.87919307332248","0.0126953125","0.0224609375","0.0029296875","2200","0.0007623716675747199","32","0.0007623716675747199","0","0.0007623716675747199","0.0007623716675747199","65:0.002482117720377486;63:0.002447528123051268","65:68;63:68","65:0.0025098243318603386;63:0.0023798710825177483","0.0126953125","0.0068359375","Yes"
"65","334.57758853359115","256.65859699138764","0.018798828125","0.00244140625","0.03515625","2200","0.00017678411985919357","32","0.00017678411985919357","0","0.00017678411985919357","0.00017678411985919357","64:0.002482117720377486;66:0.0015140507143222848;77:0.0009590450655103944","64:68;66:68;77:68","64:0.0025098243318603386;66:0.0010854908279396558;77:0.0012517613263471339","0.018798828125","0.01611328125","Yes"
"66","294.3971861512513","288.06891848690884","0.00634765625","0.00439453125","0.00830078125","2200","0.00015195579647761493","32","0.00015195579647761493","0","0.00015195579647761493","0.00015195579647761493","65:0.0015140507143222848;67:0.0038567956603866582","65:68;67:68","65:0.0010854908279396558;67:0.0031548356428665325","0.00634765625","0.0068359375","Yes"
"67","379.36011807707547","483.4375575845081","0.00146484375","0.00244140625","0.00048828125","2200","0.0001183753017932521","32","0.0001183753017932521","0","0.0001183753017932521","0.0001183753017932521","68:0.0012000061976182863;57:0.0008773350330228413;66:0.0038567956603866582","68:68;57:68;66:68","68:0.0009627799175384588;57:0.0008013062228430512;66:0.0031548356428665325","0.00146484375","0.001220703125","Yes"
"68","309.337314542771","218.83706688325813","0.003173828125","0.0029296875","0.00341796875","2200","0.00012103968115030377","32","0.00012103968115030377","0","0.00012103968115030377","0.00012103968115030377","67:0.0012000061976182863;69:0.0010900101156679498","67:68;69:68","67:0.0009627799175384588;69:0.001090761462387707","0.003173828125","0.0029296875","Yes"
"69","323.319877430987","393.03682693000434","0.004638671875","0.0048828125","0.00439453125","2200","0.00007331787666809934","32","0.00007331787666809934","0","0.00007331787666809934","0.00007331787666809934","78:0.0009477432429510768;68:0.0010900101156679498;70:0.0009125980618429619","78:68;68:68;70:68","78:0.0011768673797953322;68:0.001090761462387707;70:0.001236617793398176","0.004638671875","0.00390625","Yes"
"70","106.15937496177573","163.3821935234268","0.00390625","0.005859375","0.001953125","2200","0.00025131810936966366","32","0.00025131810936966366","0","0.00025131810936966366","0.00025131810936966366","69:0.0009125980618429619;71:0.0009136475176074188","69:68;71:68","69:0.001236617793398176;71:0.0011616303998814581","0.00390625","0.004638671875","Yes"
"71","265.07667032020214","359.3778960879865","0.001953125","0.0029296875","0.0009765625","2200","0.00013279636024322674","32","0.00013279636024322674","0","0.00013279636024322674","0.00013279636024322674","72:0.0022324246507793577;58:0.0012848722929894585;70:0.0009136475176074188","72:68;58:68;70:68","72:0.0011050282739182016;58:0.0013657323835018775;70:0.0011616303998814581","0.001953125","0.001708984375","Yes"
